_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,COP_DELIV_QTY,COP_DELIV_PERC,VWAP,mTIMESTAMP,Rolling_Delivery
64e5f4fd8ecd0bd8ed9e8064,CHOLAFIN,N4,N,1018.9,1012.5,1018.9,1015.0,1015.0,1015.0,104,105450.6,1023.64,1000.0,3,INE121A07QY9,2023-08-23,2023-08-22 18:30:00+00:00,2023-08-23T12:01:01.511Z,2023-08-23T12:01:01.511Z,0,54,51.92,1013.95,23-Aug-2023,81.31733333333334
64e5f4fd8ecd0bd8ed9e8065,CHOLAFIN,N5,N,1015.0,1015.0,1015.0,1015.0,1015.0,1015.0,10,10150.0,1045.0,991.0,1,INE121A07QX1,2023-08-23,2023-08-22 18:30:00+00:00,2023-08-23T12:01:01.513Z,2023-08-23T12:01:01.513Z,0,10,100.0,1015.0,23-Aug-2023,81.31733333333334
64e5f4fd8ecd0bd8ed9e81c5,CHOLAFIN,N6,N,991.6,988.22,988.22,991.6,991.6,988.22,571,565933.0,1000.0,987.1,4,INE121A07RH2,2023-08-23,2023-08-22 18:30:00+00:00,2023-08-23T12:01:01.927Z,2023-08-23T12:01:01.927Z,0,571,100.0,991.13,23-Aug-2023,81.63233333333332
64e7467f4942f72da78c9319,CHOLAFIN,EQ,N,1105.0,1081.1,1095.0,1085.05,1081.15,1086.45,1591659,1738417582.4,1214.6,658.0,95777,INE121A01024,2023-08-24,2023-08-23 18:30:00+00:00,2023-08-24T12:01:03.780Z,2023-08-24T12:01:03.780Z,0,892058,56.05,1092.2,24-Aug-2023,82.09366666666666
64e7467d4942f72da78c899b,CHOLAFIN,N4,N,1021.0,1019.0,1019.0,1021.0,1021.0,1015.0,600,612000.0,1023.64,1000.0,6,INE121A07QY9,2023-08-24,2023-08-23 18:30:00+00:00,2023-08-24T12:01:01.506Z,2023-08-24T12:01:01.506Z,0,600,100.0,1020.0,24-Aug-2023,82.82900000000001
64e7467d4942f72da78c899c,CHOLAFIN,N5,N,1011.0,1011.0,1011.0,1011.0,1011.0,1015.0,10,10110.0,1045.0,991.0,1,INE121A07QX1,2023-08-24,2023-08-23 18:30:00+00:00,2023-08-24T12:01:01.508Z,2023-08-24T12:01:01.508Z,0,10,100.0,1011.0,24-Aug-2023,82.82900000000001
64e7467d4942f72da78c8b15,CHOLAFIN,N6,N,997.0,992.01,995.0,997.0,997.0,991.6,120,119440.2,1000.0,987.1,3,INE121A07RH2,2023-08-24,2023-08-23 18:30:00+00:00,2023-08-24T12:01:01.901Z,2023-08-24T12:01:01.901Z,0,120,100.0,995.33,24-Aug-2023,83.96266666666666
64e7467d4942f72da78c8b16,CHOLAFIN,N8,N,992.0,990.0,992.0,990.0,990.0,1003.12,100,99080.0,1003.13,990.0,3,INE121A07RF6,2023-08-24,2023-08-23 18:30:00+00:00,2023-08-24T12:01:01.907Z,2023-08-24T12:01:01.907Z,0,100,100.0,990.8,24-Aug-2023,85.35633333333334
64e7467d4942f72da78c8b17,CHOLAFIN,NA,N,1002.49,1001.5,1002.49,1001.5,1001.5,1000.39,33,33058.45,1002.49,994.36,5,INE121A07RE9,2023-08-24,2023-08-23 18:30:00+00:00,2023-08-24T12:01:01.908Z,2023-08-24T12:01:01.908Z,0,33,100.0,1001.77,24-Aug-2023,85.35633333333334
64e7467d4942f72da78c8b18,CHOLAFIN,NB,N,980.0,980.0,980.0,980.0,980.0,1000.0,50,49000.0,980.0,980.0,2,INE121A07RI0,2023-08-24,2023-08-23 18:30:00+00:00,2023-08-24T12:01:01.909Z,2023-08-24T12:01:01.909Z,0,50,100.0,980.0,24-Aug-2023,85.35633333333334
64e898009e416bb77f8c04b5,CHOLAFIN,EQ,N,1090.8,1063.75,1085.9,1082.2,1082.95,1085.05,1337630,1437849402.25,1214.6,658.0,113236,INE121A01024,2023-08-25,2023-08-24 18:30:00+00:00,2023-08-25T12:01:04.221Z,2023-08-25T12:01:04.221Z,0,687454,51.39,1074.92,25-Aug-2023,83.736
64e897fe9e416bb77f8bfb90,CHOLAFIN,N2,N,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,2,2036.0,1224.0,990.0,1,INE121A07QW3,2023-08-25,2023-08-24 18:30:00+00:00,2023-08-25T12:01:02.183Z,2023-08-25T12:01:02.183Z,0,2,100.0,1018.0,25-Aug-2023,85.46133333333334
65423dff637fbcb8f0f3d54b,CHOLAFIN,EQ,N,1164.0,1135.2,1142.95,1149.0,1143.55,1137.3,1196729,1371646285.1,1272.9,658.0,65850,INE121A01024,2023-11-01,2023-10-31 18:30:00+00:00,2023-11-01T12:01:03.708Z,2023-11-01T12:01:03.708Z,0,757191,63.27,1146.16,01-Nov-2023,84.23700000000001
65423dfd637fbcb8f0f3cc19,CHOLAFIN,N0,N,1030.01,1025.01,1025.01,1030.0,1030.0,1039.0,149,153200.95,1044.0,1000.0,5,INE121A07RB5,2023-11-01,2023-10-31 18:30:00+00:00,2023-11-01T12:01:01.469Z,2023-11-01T12:01:01.469Z,0,149,100.0,1028.19,01-Nov-2023,84.23700000000001
65423dfd637fbcb8f0f3cdb8,CHOLAFIN,N6,N,1005.92,1005.92,1005.92,1005.92,1005.92,1005.7,1150,1156808.0,1017.58,987.1,3,INE121A07RH2,2023-11-01,2023-10-31 18:30:00+00:00,2023-11-01T12:01:01.942Z,2023-11-01T12:01:01.942Z,0,1150,100.0,1005.92,01-Nov-2023,85.02133333333333
